name
NATURE
SCIENCE
Science Advances
Nature Communications
National Science Review
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
Science Bulletin
Scientific Data
Journal of Advanced Research
Annals of the New York Academy of Sciences
Journal of the Royal Society Interface
NPJ Microgravity
Scientific Reports
Research Synthesis Methods
Journal of Radiation Research and Applied Sciences
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES
PLoS One
PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES
Royal Society Open Science
JOURNAL OF CULTURAL HERITAGE
AMERICAN SCIENTIST
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES
Iranian Journal of Science and Technology Transaction A-Science
Sains Malaysiana
HERALD OF THE RUSSIAN ACADEMY OF SCIENCES
SCIENTIST
Maejo International Journal of Science and Technology
SCIENCEASIA
NATIONAL ACADEMY SCIENCE LETTERS-INDIA
Chiang Mai Journal of Science
JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA
NEW SCIENTIST
INTERDISCIPLINARY SCIENCE REVIEWS
ACTA SCIENTIARUM-TECHNOLOGY
COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES
INTERCIENCIA
