name
JOURNAL OF OPERATIONS MANAGEMENT
TECHNOVATION
MIS QUARTERLY
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE
ENERGY POLICY
JOURNAL OF STRATEGIC INFORMATION SYSTEMS
INFORMATION & MANAGEMENT
JOURNAL OF PRODUCT INNOVATION MANAGEMENT
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION
ECOLOGICAL ECONOMICS
ECONOMETRICA
Journal of Informetrics
MANAGEMENT SCIENCE
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH
JOURNAL OF INFORMATION TECHNOLOGY
SAFETY SCIENCE
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS
Electronic Commerce Research and Applications
PRODUCTION PLANNING & CONTROL
TELECOMMUNICATIONS POLICY
JOURNAL OF QUALITY TECHNOLOGY
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT
Applied Economic Perspectives and Policy
Enterprise Information Systems
Journal of Systems Science and Systems Engineering
TECHNOMETRICS
FINANCE AND STOCHASTICS
RESEARCH-TECHNOLOGY MANAGEMENT
ONLINE INFORMATION REVIEW
Aslib Journal of Information Management
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY
OR SPECTRUM
JOURNAL OF ECONOMETRICS
Operational Research
Journal of Wine Economics
QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL
BEHAVIOUR & INFORMATION TECHNOLOGY
Econometrics Journal
4OR-A Quarterly Journal of Operations Research
AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS
QUANTITATIVE FINANCE
Agribusiness
Central European Journal of Operations Research
IMA Journal of Management Mathematics
Journal of Organizational and End User Computing
Computational and Mathematical Organization Theory
China Agricultural Economic Review
Computational Economics
Top
ECONOMETRIC THEORY
JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS
OXFORD BULLETIN OF ECONOMICS AND STATISTICS
Journal of Industrial and Management Optimization
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT
Econometric Reviews
Agricultural Economics-Zemedelska Ekonomika
International Food and Agribusiness Management Review
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE
INFORMATION TECHNOLOGY AND LIBRARIES
NAVAL RESEARCH LOGISTICS
INTERFACES
TRAVAIL HUMAIN
Economic Computation and Economic Cybernetics Studies and Research
OPERATIONS RESEARCH LETTERS
RAIRO-OPERATIONS RESEARCH
ASIA-PACIFIC JOURNAL OF OPERATIONAL RESEARCH
JOURNAL OF MATHEMATICAL ECONOMICS
Engineering Management Journal
German Journal of Agricultural Economics
Agrekon
Custos e Agronegocio On Line
MILITARY OPERATIONS RESEARCH
