name
Studies in Science Education
JOURNAL OF HEALTH ECONOMICS
SOCIAL STUDIES OF SCIENCE
SOCIAL SCIENCE COMPUTER REVIEW
AGRICULTURE AND HUMAN VALUES
SOCIO-ECONOMIC PLANNING SCIENCES
SPORT EDUCATION AND SOCIETY
SCIENCE AND ENGINEERING ETHICS
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE
QUEST
JOURNAL OF TEACHING IN PHYSICAL EDUCATION
SOCIOLOGY OF SPORT JOURNAL
Journal of Science Education and Technology
NanoEthics
BIOLOGY & PHILOSOPHY
LANGUAGE AND SPEECH
Science & Education
SYNTHESE
Biosemiotics
PHILOSOPHY OF SCIENCE
Notes and Records-The Royal Society Journal of the History of Science
SCIENCE IN CONTEXT
Ambix
Early Science and Medicine
Dynamis
Theology and Science
ANNALS OF SCIENCE
Historical Records of Australian Science
Journal of the History of the Neurosciences
Nuncius-Journal of the History of Science
ARCHIVES OF NATURAL HISTORY
Berichte zur Wissenschaftsgeschichte
CENTAURUS
